Tree ID,Planting Date,Height (m),Status,Health,spc_latin,spc_common,Borough Code,Latitude,Longitude
606945,2016-06-28,10,True,Good,Fraxinus pennsylvanica,green ash,4,40.72433932,-73.80518011
160321,2016-08-19,9,True,Good,Gleditsia triacanthos var. inermis,honeylocust,4,40.75662595,-73.89416679
541347,2016-12-30,7,True,Good,Pyrus calleryana,Callery pear,4,40.67977677,-73.78846289
613930,2016-07-05,10,True,Good,Pyrus calleryana,Callery pear,3,40.62274274,-74.0375434
018353,2016-06-13,4,True,Good,Prunus virginiana,"'Schubert' chokecherry",4,40.5965141,-73.79762248
021173,2016-06-15,8,True,Good,Gleditsia triacanthos var. inermis,honeylocust,1,40.8268873,-73.94988854
544698,2016-01-20,2,True,Fair,Quercus rubra,northern red oak,3,40.67134672,-73.89761379
546240,2016-02-06,2,True,Good,Tilia americana,American linden,3,40.63777439,-73.99869226
646348,2016-07-29,4,True,Good,Quercus palustris,pin oak,4,40.69666784,-73.85308695
413812,2016-11-02,5,True,Good,Ulmus americana,American elm,2,40.80896707,-73.88264729
643898,2016-07-28,7,True,Good,Platanus x acerifolia,London planetree,4,40.68998752,-73.82894773
051527,2016-07-06,10,True,Good,Pyrus calleryana,Callery pear,5,40.56123548,-74.14756926
111516,2016-08-02,2,True,Good,Tilia americana,American linden,1,40.75050267,-74.0012648
316742,2016-10-13,13,True,Good,Acer saccharinum,silver maple,5,40.55740036,-74.1719325
428425,2016-11-04,2,False,,,,3,40.69965527,-73.92605343
581674,2016-06-10,12,True,Good,Gleditsia triacanthos var. inermis,honeylocust,4,40.67021579,-73.78613754
341736,2016-10-17,12,False,,,,2,40.84822096,-73.78696339
545989,2016-02-04,14,True,Good,Fraxinus americana,white ash,3,40.6180494,-73.93600187
386593,2016-10-27,16,True,Fair,Quercus rubra,northern red oak,5,40.60772576,-74.07015896
010288,2016-06-04,5,True,Fair,Crataegus,hawthorn,3,40.69432132,-73.98886257
710291,2016-09-12,6,True,Good,Zelkova serrata,Japanese zelkova,3,40.67733712,-73.90859701
608354,2016-06-29,5,True,Good,Quercus coccinea,scarlet oak,4,40.70100375,-73.73601616
365941,2016-10-22,14,True,Good,Quercus palustris,pin oak,3,40.63774884,-74.03195145
365757,2016-10-22,12,True,Good,Fraxinus pennsylvanica,green ash,1,40.72127573,-73.98270648
078058,2016-07-19,7,True,Good,Acer platanoides,Norway maple,4,40.75234919,-73.88674383
655310,2016-08-05,4,True,Poor,Tilia cordata,littleleaf linden,4,40.71171787,-73.78516724
658091,2016-08-08,3,True,Good,Koelreuteria paniculata,golden raintree,5,40.60445166,-74.13293832
235893,2016-09-18,9,True,Good,Liquidambar styraciflua,sweetgum,2,40.83946991,-73.82599455
497126,2016-12-04,7,True,Good,Tilia americana,American linden,5,40.61303154,-74.15656359
314098,2016-10-12,7,True,Good,Pyrus calleryana,Callery pear,5,40.55005927,-74.21117589
679996,2016-08-25,4,True,Good,Quercus palustris,pin oak,4,40.72785135,-73.82307036
363526,2016-10-22,9,True,Good,Ginkgo biloba,ginkgo,3,40.69389519,-73.96905151
640705,2016-07-26,11,True,Good,Acer,maple,4,40.68898199,-73.82157444
421793,2016-11-03,4,True,Fair,Prunus cerasifera,purple-leaf plum,4,40.69647164,-73.73428663
142361,2016-08-13,4,True,Good,Malus,crab apple,1,40.80390017,-73.96691108
167750,2016-08-23,7,True,Good,Ginkgo biloba,ginkgo,4,40.72244096,-73.86301576
516670,2016-12-14,18,True,Good,Fraxinus pennsylvanica,green ash,5,40.53042064,-74.16793584
308062,2016-10-10,3,True,Good,Prunus,cherry,4,40.77426736,-73.90577442
149949,2016-08-16,5,True,Poor,Ulmus americana,American elm,3,40.68006881,-73.98356407
263907,2016-09-27,5,True,Good,Quercus palustris,pin oak,3,40.69134071,-73.95651646
555711,2016-05-02,2,True,Fair,Styrax japonicus,Japanese snowbell,2,40.86137397,-73.89635562
246605,2016-09-22,7,True,Good,Acer platanoides,Norway maple,4,40.74043402,-73.82237986
284553,2016-10-05,24,True,Good,Quercus palustris,pin oak,4,40.73524908,-73.7081976
495957,2016-12-04,5,True,Good,Prunus cerasifera,purple-leaf plum,5,40.59802964,-74.13405705
042659,2016-06-30,18,True,Good,Quercus palustris,pin oak,5,40.59552633,-74.1554559
468628,2016-11-18,6,True,Good,Fraxinus americana,white ash,2,40.82507944,-73.89891744
244333,2016-09-21,13,True,Fair,Platanus x acerifolia,London planetree,4,40.75485829,-73.7632828
